"page_name","page_id","id_var_native","name_var_native","year_native","month_native","origin_city","origin_region","origin_country","val","value_source","ors_type","ors_id","osm_id","osm_layer","city_name_ors","region_name_ors","country_name_ors","lon","lat","geometry_confidence","adr","distance_km","duration_min","from_lon_matrix","from_lat_matrix"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","2","Ostrava",NULL,"Czechia","296","Facebook Graph API","Point","1125415435","1125415435","localadmin","Ostrava","Moravian-Silesian","Czechia","18.28204","49.83465","0.6","Ostrava, Czechia","346.63","282","18.281806","49.834799"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","3","Ostrava",NULL,"Czechia","4","Facebook Graph API","Point","1125415435","1125415435","localadmin","Ostrava","Moravian-Silesian","Czechia","18.28204","49.83465","0.6","Ostrava, Czechia","346.63","282","18.281806","49.834799"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","4","Ostrava",NULL,"Czechia","5","Facebook Graph API","Point","1125415435","1125415435","localadmin","Ostrava","Moravian-Silesian","Czechia","18.28204","49.83465","0.6","Ostrava, Czechia","346.63","282","18.281806","49.834799"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","4","Ostrava",NULL,"Czechia","6","Facebook Graph API","Point","1125415435","1125415435","localadmin","Ostrava","Moravian-Silesian","Czechia","18.28204","49.83465","0.6","Ostrava, Czechia","346.63","282","18.281806","49.834799"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","10","Ostrava",NULL,"Czechia","1","Facebook Graph API","Point","1125415435","1125415435","localadmin","Ostrava","Moravian-Silesian","Czechia","18.28204","49.83465","0.6","Ostrava, Czechia","346.63","282","18.281806","49.834799"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","11","Ostrava",NULL,"Czechia","2","Facebook Graph API","Point","1125415435","1125415435","localadmin","Ostrava","Moravian-Silesian","Czechia","18.28204","49.83465","0.6","Ostrava, Czechia","346.63","282","18.281806","49.834799"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","1","Pardubice",NULL,"Czechia","27","Facebook Graph API","Point","101748115","101748115","locality","Pardubice","Pardubice","Czechia","15.76788","50.034889","0.6","Pardubice, Czechia","556.78","461","15.767763","50.035252"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Pardubice",NULL,"Czechia","1","Facebook Graph API","Point","101748115","101748115","locality","Pardubice","Pardubice","Czechia","15.76788","50.034889","0.6","Pardubice, Czechia","556.78","461","15.767763","50.035252"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","2","Pardubice",NULL,"Czechia","73","Facebook Graph API","Point","101748115","101748115","locality","Pardubice","Pardubice","Czechia","15.76788","50.034889","0.6","Pardubice, Czechia","556.78","461","15.767763","50.035252"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","10","Pardubice",NULL,"Czechia","1","Facebook Graph API","Point","101748115","101748115","locality","Pardubice","Pardubice","Czechia","15.76788","50.034889","0.6","Pardubice, Czechia","556.78","461","15.767763","50.035252"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","2","Plzen",NULL,"Czechia","259","Facebook Graph API","Point","101748111","101748111","locality","Pilsen","Plzeň","Czechia","13.375817","49.734736","0.6","Plzen, Czechia","752.56","513","13.375849","49.734746"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Plzen",NULL,"Czechia","6","Facebook Graph API","Point","101748111","101748111","locality","Pilsen","Plzeň","Czechia","13.375817","49.734736","0.6","Plzen, Czechia","752.56","513","13.375849","49.734746"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","3","Plzen",NULL,"Czechia","6","Facebook Graph API","Point","101748111","101748111","locality","Pilsen","Plzeň","Czechia","13.375817","49.734736","0.6","Plzen, Czechia","752.56","513","13.375849","49.734746"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","1","Postoloprty",NULL,"Czechia","1","Facebook Graph API","Point","101824291","101824291","locality","Postoloprty","Ústecký","Czechia","13.69551","50.359744","0.6","Postoloprty, Czechia","734.22","512","13.695344","50.360005"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","1","Prague",NULL,"Czechia","554","Facebook Graph API","Point","101748113","101748113","locality","Prague","Prague","Czechia","14.460249","50.06694","0.6","Prague, Czechia","656.75","458","14.460431","50.066987"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","1","Prague",NULL,"Czechia","39","Facebook Graph API","Point","101748113","101748113","locality","Prague","Prague","Czechia","14.460249","50.06694","0.6","Prague, Czechia","656.75","458","14.460431","50.066987"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","2","Prague",NULL,"Czechia","6499","Facebook Graph API","Point","101748113","101748113","locality","Prague","Prague","Czechia","14.460249","50.06694","0.6","Prague, Czechia","656.75","458","14.460431","50.066987"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","2","Prague",NULL,"Czechia","73","Facebook Graph API","Point","101748113","101748113","locality","Prague","Prague","Czechia","14.460249","50.06694","0.6","Prague, Czechia","656.75","458","14.460431","50.066987"
"Visit Kosice","140831155939489","page_impressions_by_country_unique","Page impressions by city_unique","2021","3","Prague",NULL,"Czechia","740","Facebook Graph API","Point","101748113","101748113","locality","Prague","Prague","Czechia","14.460249","50.06694","0.6","Prague, Czechia","656.75","458","14.460431","50.066987"
"Visit Kosice","140831155939489","page_content_activity_by_country_unique","Page content activity by city_unique","2021","3","Prague",NULL,"Czechia","60","Facebook Graph API","Point","101748113","101748113","locality","Prague","Prague","Czechia","14.460249","50.06694","0.6","Prague, Czechia","656.75","458","14.460431","50.066987"
